place_type,hour,weekday,duration
park,13,thursday,1.17
restaurant,20,monday,1.52
zoo,10,friday,2.89
church,13,tuesday,0.59
museum,13,monday,1.89
cafe,14,saturday,1.4
cafe,13,tuesday,0.86
park,11,friday,1.9
restaurant,12,sunday,2.38
shopping_mall,15,wednesday,2.03
park,11,wednesday,1.53
viewpoint,11,monday,0.95
zoo,15,sunday,2.22
monument,19,friday,1.24
church,12,sunday,1.25
park,19,wednesday,1.92
church,18,monday,0.81
monument,12,sunday,0.74
shopping_mall,20,sunday,1.64
restaurant,14,monday,1.11
zoo,10,friday,2.75
shopping_mall,19,sunday,1.9
monument,10,wednesday,0.9
monument,16,thursday,1.13
cafe,20,monday,1.46
zoo,9,sunday,2.71
restaurant,9,tuesday,1.32
beach,19,monday,2.25
cafe,14,friday,1.3
monument,19,sunday,0.64
monument,11,saturday,0.64
church,15,sunday,1.38
museum,16,thursday,1.71
restaurant,16,friday,1.8
shopping_mall,15,friday,1.78
zoo,20,monday,2.88
viewpoint,20,tuesday,0.97
cafe,17,thursday,0.74
beach,15,sunday,3.81
park,20,sunday,1.14
museum,13,thursday,2.47
church,17,tuesday,0.68
shopping_mall,12,tuesday,1.57
museum,18,saturday,1.97
shopping_mall,11,sunday,2.88
beach,18,tuesday,3.84
church,18,wednesday,0.87
monument,20,wednesday,0.75
museum,20,tuesday,2.49
zoo,14,saturday,2.81
museum,13,thursday,1.65
restaurant,12,thursday,1.38
shopping_mall,18,friday,1.74
viewpoint,13,monday,0.65
monument,10,tuesday,0.92
beach,15,sunday,2.43
shopping_mall,13,wednesday,2.39
park,10,wednesday,1.14
zoo,19,sunday,2.09
restaurant,18,thursday,1.6
viewpoint,9,wednesday,0.83
park,14,tuesday,1.47
viewpoint,14,tuesday,0.61
beach,20,monday,3.35
church,17,friday,0.67
park,12,thursday,1.77
beach,15,sunday,3.64
park,14,monday,1.96
museum,10,saturday,1.64
museum,18,saturday,1.59
park,19,monday,1.62
restaurant,11,monday,2.43
zoo,17,thursday,2.36
beach,17,saturday,2.41
monument,14,tuesday,0.74
zoo,20,thursday,2.3
cafe,18,wednesday,0.78
church,14,friday,1.18
viewpoint,9,wednesday,0.72
viewpoint,10,sunday,0.76
park,15,wednesday,1.79
church,13,friday,0.56
zoo,11,thursday,2.34
church,14,friday,0.9
park,11,saturday,1.75
church,10,friday,1.03
church,17,sunday,1.11
restaurant,10,monday,1.22
zoo,19,sunday,2.29
viewpoint,20,saturday,1.0
shopping_mall,15,friday,1.85
zoo,18,monday,2.8
zoo,14,saturday,2.04
viewpoint,17,sunday,0.76
shopping_mall,12,thursday,1.76
zoo,10,tuesday,2.89
monument,19,saturday,0.9
shopping_mall,20,friday,2.48
restaurant,16,friday,1.06
museum,20,wednesday,1.81
monument,12,thursday,0.61
zoo,9,wednesday,2.93
park,12,tuesday,1.66
beach,10,wednesday,2.46
monument,16,saturday,1.22
museum,14,tuesday,2.06
beach,17,friday,3.18
viewpoint,16,wednesday,0.8
park,19,wednesday,1.55
monument,18,wednesday,0.86
shopping_mall,20,tuesday,2.07
monument,17,wednesday,0.81
restaurant,9,wednesday,2.17
restaurant,15,thursday,1.53
park,13,wednesday,1.94
beach,15,tuesday,2.93
beach,15,wednesday,3.79
museum,9,monday,1.85
shopping_mall,12,wednesday,1.7
restaurant,9,wednesday,1.2
park,19,saturday,1.73
zoo,13,saturday,2.15
museum,18,friday,1.63
church,19,thursday,0.71
monument,13,wednesday,1.18
monument,18,tuesday,0.85
shopping_mall,18,saturday,2.23
church,13,monday,1.41
park,10,friday,1.12
church,14,thursday,1.32
beach,11,monday,2.33
shopping_mall,13,thursday,2.79
viewpoint,20,sunday,0.73
cafe,19,sunday,0.68
beach,13,saturday,3.16
shopping_mall,19,wednesday,2.75
cafe,9,friday,1.11
viewpoint,10,wednesday,0.96
park,16,thursday,1.09
viewpoint,16,thursday,0.96
monument,20,friday,0.64
park,16,sunday,1.9
beach,13,friday,2.09
beach,17,monday,2.83
shopping_mall,19,wednesday,1.55
zoo,20,friday,2.25
park,17,monday,1.15
beach,17,friday,2.14
church,17,wednesday,1.03
museum,9,friday,1.53
restaurant,11,wednesday,2.17
restaurant,11,friday,1.4
restaurant,11,sunday,2.41
shopping_mall,10,monday,2.09
museum,14,friday,2.11
restaurant,11,sunday,1.48
museum,11,monday,1.75
shopping_mall,9,sunday,2.31
monument,18,wednesday,0.7
cafe,13,monday,1.4
beach,16,friday,2.04
park,11,friday,1.43
park,17,tuesday,1.32
zoo,10,tuesday,2.93
restaurant,20,friday,2.01
church,11,wednesday,1.36
park,10,sunday,1.54
park,20,wednesday,1.34
museum,13,thursday,1.87
church,18,thursday,0.67
museum,10,monday,2.3
restaurant,19,thursday,1.1
park,17,wednesday,1.99
park,14,wednesday,1.69
museum,17,thursday,1.6
museum,17,wednesday,2.46
zoo,20,friday,2.07
park,16,sunday,1.19
zoo,19,wednesday,2.26
zoo,13,wednesday,2.62
cafe,14,tuesday,1.03
beach,10,wednesday,2.94
shopping_mall,18,friday,2.81
museum,12,monday,2.49
beach,20,monday,2.56
zoo,19,friday,2.5
zoo,13,friday,2.23
museum,18,thursday,1.87
museum,19,monday,2.13
shopping_mall,10,friday,2.4
park,17,thursday,1.17
zoo,14,tuesday,2.07
shopping_mall,14,wednesday,1.77
park,18,sunday,1.34
monument,13,wednesday,0.93
park,18,tuesday,1.06
church,9,thursday,0.56
restaurant,18,wednesday,1.75
museum,14,thursday,1.71
park,18,sunday,1.34
cafe,17,friday,0.55
monument,15,friday,1.26
beach,19,wednesday,2.95
cafe,17,sunday,0.6
monument,20,friday,1.08
museum,17,saturday,2.03
shopping_mall,15,monday,2.41
museum,19,wednesday,1.5
church,12,friday,0.8
park,19,sunday,1.59
zoo,18,friday,2.99
shopping_mall,16,thursday,1.81
church,20,wednesday,0.99
museum,9,thursday,1.59
museum,9,saturday,2.4
zoo,19,sunday,2.99
shopping_mall,15,friday,2.89
park,17,thursday,1.05
zoo,13,thursday,2.36
monument,19,tuesday,1.38
zoo,13,tuesday,2.44
church,18,wednesday,1.07
park,10,friday,1.54
shopping_mall,11,sunday,2.49
beach,12,thursday,3.74
park,14,friday,1.38
church,17,tuesday,0.57
viewpoint,9,wednesday,0.54
zoo,20,sunday,2.89
park,18,thursday,1.33
shopping_mall,12,thursday,2.91
park,17,wednesday,1.86
shopping_mall,18,monday,1.55
museum,14,saturday,2.13
restaurant,9,wednesday,1.22
beach,13,wednesday,3.07
zoo,9,saturday,2.38
zoo,12,monday,2.7
church,17,thursday,0.56
restaurant,18,sunday,2.35
beach,17,monday,2.59
park,17,saturday,1.85
restaurant,13,sunday,2.23
viewpoint,19,saturday,0.74
viewpoint,12,thursday,0.86
park,13,saturday,1.18
cafe,18,wednesday,0.92
cafe,17,sunday,1.33
park,15,tuesday,1.94
shopping_mall,11,thursday,2.32
restaurant,17,saturday,1.53
viewpoint,15,wednesday,0.63
zoo,11,saturday,2.67
church,11,tuesday,1.48
zoo,18,thursday,2.98
monument,13,monday,0.76
viewpoint,20,thursday,0.5
restaurant,17,friday,1.99
cafe,13,monday,0.98
park,17,saturday,1.24
park,18,friday,1.45
cafe,13,wednesday,1.12
cafe,16,tuesday,0.55
beach,20,monday,2.64
restaurant,9,thursday,1.82
viewpoint,18,friday,0.68
monument,18,sunday,0.81
museum,20,wednesday,1.76
museum,10,sunday,2.26
cafe,10,sunday,0.55
restaurant,15,monday,2.38
cafe,16,monday,1.41
church,11,wednesday,1.42
monument,12,tuesday,0.87
viewpoint,15,friday,0.99
church,12,saturday,0.64
restaurant,10,sunday,2.31
shopping_mall,16,monday,2.11
museum,12,wednesday,1.5
monument,19,friday,1.31
beach,19,thursday,3.33
zoo,10,sunday,2.97
museum,12,monday,2.17
zoo,19,friday,2.61
beach,20,tuesday,3.36
cafe,14,tuesday,0.55
restaurant,13,thursday,2.17
monument,16,sunday,0.61
beach,18,thursday,2.59
museum,14,tuesday,1.57
shopping_mall,9,thursday,2.67
restaurant,12,saturday,1.93
beach,9,sunday,2.44
viewpoint,12,friday,0.76
cafe,15,monday,0.97
shopping_mall,19,saturday,1.8
viewpoint,19,tuesday,0.9
zoo,14,thursday,2.02
zoo,16,friday,2.16
park,15,monday,1.95
park,20,tuesday,1.46
church,19,wednesday,1.16
beach,9,sunday,3.62
monument,19,sunday,0.5
restaurant,17,monday,1.81
cafe,9,wednesday,1.44
beach,12,friday,2.48
zoo,15,monday,2.04
zoo,20,thursday,3.0
viewpoint,16,monday,0.58
zoo,13,wednesday,2.15
zoo,9,saturday,2.93
viewpoint,15,tuesday,0.59
museum,15,saturday,2.1
monument,14,sunday,0.72
monument,19,monday,1.07
viewpoint,16,wednesday,0.82
restaurant,12,wednesday,2.21
monument,18,friday,1.25
shopping_mall,9,monday,1.82
restaurant,12,tuesday,1.24
museum,19,sunday,1.79
park,12,thursday,1.17
cafe,16,sunday,0.78
cafe,18,monday,0.6
church,12,sunday,1.47
park,9,sunday,1.44
church,12,wednesday,1.3
church,20,saturday,0.54
shopping_mall,11,friday,1.51
monument,13,sunday,1.09
cafe,18,wednesday,0.91
monument,13,sunday,0.62
viewpoint,17,friday,0.9
cafe,11,monday,1.42
cafe,19,sunday,1.27
beach,11,saturday,3.6
beach,12,thursday,2.59
shopping_mall,16,monday,2.28
monument,16,saturday,0.67
monument,12,monday,1.26
restaurant,10,saturday,1.95
shopping_mall,10,monday,2.06
church,19,friday,0.69
zoo,18,tuesday,2.52
park,20,monday,1.85
shopping_mall,9,monday,2.63
monument,13,thursday,1.08
viewpoint,20,saturday,0.55
shopping_mall,14,friday,2.7
viewpoint,9,thursday,0.87
viewpoint,9,sunday,0.67
park,19,sunday,1.84
museum,15,tuesday,1.57
shopping_mall,11,sunday,2.74
viewpoint,9,sunday,0.87
zoo,19,tuesday,2.63
church,10,sunday,0.51
church,11,saturday,1.16
beach,13,saturday,3.04
park,18,monday,1.61
zoo,19,sunday,2.06
restaurant,10,saturday,1.35
shopping_mall,16,wednesday,2.99
church,19,monday,0.81
restaurant,18,monday,2.2
museum,14,monday,2.06
beach,13,monday,2.49
restaurant,14,monday,1.53
monument,15,thursday,0.74
viewpoint,14,friday,0.88
cafe,16,friday,0.85
viewpoint,14,sunday,0.92
viewpoint,14,sunday,0.99
church,20,sunday,0.92
restaurant,12,monday,1.35
viewpoint,11,saturday,0.69
shopping_mall,17,wednesday,1.81
museum,19,sunday,2.36
church,11,friday,1.21
zoo,20,saturday,2.83
viewpoint,11,monday,0.8
viewpoint,18,friday,0.53
museum,18,wednesday,1.57
restaurant,9,sunday,2.45
beach,12,wednesday,3.83
church,10,tuesday,1.2
monument,12,tuesday,0.58
restaurant,15,sunday,1.53
church,15,sunday,0.75
restaurant,14,thursday,2.24
monument,16,saturday,0.63
zoo,16,sunday,2.63
park,13,sunday,1.57
beach,20,saturday,3.9
church,11,sunday,1.14
zoo,18,thursday,2.73
shopping_mall,13,sunday,2.99
zoo,13,tuesday,2.0
shopping_mall,11,monday,2.95
beach,13,saturday,3.92
viewpoint,12,monday,0.68
restaurant,16,thursday,1.4
church,20,tuesday,0.91
museum,10,saturday,1.91
monument,9,thursday,0.53
church,9,friday,1.39
monument,18,friday,0.89
park,18,wednesday,1.96
shopping_mall,17,saturday,1.65
museum,12,sunday,1.57
viewpoint,11,friday,0.72
monument,11,friday,1.28
monument,15,wednesday,1.41
church,16,tuesday,0.97
cafe,10,thursday,0.96
museum,12,saturday,2.37
cafe,15,wednesday,1.07
cafe,17,wednesday,0.9
monument,17,friday,1.11
shopping_mall,12,friday,2.46
monument,10,sunday,0.55
viewpoint,17,thursday,0.66
viewpoint,19,wednesday,0.85
beach,14,friday,2.84
park,16,friday,1.12
restaurant,16,sunday,1.16
beach,13,friday,3.97
restaurant,18,sunday,2.1
monument,20,friday,1.36
zoo,9,saturday,2.81
restaurant,11,friday,2.18
church,16,friday,0.99
restaurant,20,friday,1.33
cafe,10,thursday,0.59
church,14,sunday,0.73
beach,16,sunday,2.44
beach,19,thursday,3.33
shopping_mall,9,wednesday,1.75
monument,13,friday,1.4
museum,12,saturday,2.41
zoo,20,friday,2.67
shopping_mall,13,sunday,3.0
viewpoint,15,wednesday,0.88
viewpoint,9,tuesday,0.93
cafe,13,wednesday,1.05
restaurant,20,thursday,2.12
beach,16,friday,3.14
church,16,monday,0.58
church,13,monday,0.88
zoo,10,wednesday,2.71
viewpoint,18,friday,0.92
shopping_mall,10,wednesday,1.94
monument,11,tuesday,1.0
shopping_mall,10,sunday,2.75
shopping_mall,15,sunday,1.93
monument,17,sunday,1.4
cafe,17,wednesday,1.48
church,12,saturday,0.85
beach,9,thursday,2.38
church,12,wednesday,1.39
beach,15,sunday,2.38
monument,9,tuesday,1.31
zoo,13,saturday,2.42
viewpoint,18,wednesday,0.69
museum,18,thursday,2.06
park,12,wednesday,1.46
beach,14,wednesday,3.88
cafe,12,saturday,0.58
restaurant,11,thursday,1.97
cafe,10,saturday,1.32
viewpoint,18,monday,0.6
cafe,9,wednesday,1.49
church,15,saturday,0.58
park,10,monday,1.34
museum,18,tuesday,2.08
monument,16,tuesday,1.36
monument,15,thursday,1.36
shopping_mall,19,thursday,2.4
shopping_mall,20,monday,2.68
restaurant,12,friday,1.52
monument,16,thursday,0.51
shopping_mall,14,saturday,1.82
monument,9,friday,1.33
beach,9,monday,3.94
zoo,10,thursday,2.95
restaurant,11,saturday,1.59
zoo,18,friday,2.17
monument,11,tuesday,1.46
zoo,19,monday,2.12
viewpoint,15,sunday,0.93
beach,16,tuesday,2.67
viewpoint,13,wednesday,0.71
restaurant,11,saturday,1.04
cafe,18,sunday,1.32
church,13,saturday,1.14
restaurant,13,monday,1.52
monument,20,thursday,0.73
park,9,wednesday,1.98
zoo,13,friday,2.98
