place_type,hour,day_of_week,duration_hours
park,13,3,1.17
restaurant,20,0,1.52
zoo,10,4,2.89
church,13,1,0.59
museum,13,0,1.89
cafe,14,5,1.4
cafe,13,1,0.86
park,11,4,1.9
restaurant,12,6,2.38
shopping_mall,15,2,2.03
park,11,2,1.53
viewpoint,11,0,0.95
zoo,15,6,2.22
monument,19,4,1.24
church,12,6,1.25
park,19,2,1.92
church,18,0,0.81
monument,12,6,0.74
shopping_mall,20,6,1.64
restaurant,14,0,1.11
zoo,10,4,2.75
shopping_mall,19,6,1.9
monument,10,2,0.9
monument,16,3,1.13
cafe,20,0,1.46
zoo,9,6,2.71
restaurant,9,1,1.32
beach,19,0,2.25
cafe,14,4,1.3
monument,19,6,0.64
monument,11,5,0.64
church,15,6,1.38
museum,16,3,1.71
restaurant,16,4,1.8
shopping_mall,15,4,1.78
zoo,20,0,2.88
viewpoint,20,1,0.97
cafe,17,3,0.74
beach,15,6,3.81
park,20,6,1.14
museum,13,3,2.47
church,17,1,0.68
shopping_mall,12,1,1.57
museum,18,5,1.97
shopping_mall,11,6,2.88
beach,18,1,3.84
church,18,2,0.87
monument,20,2,0.75
museum,20,1,2.49
zoo,14,5,2.81
museum,13,3,1.65
restaurant,12,3,1.38
shopping_mall,18,4,1.74
viewpoint,13,0,0.65
monument,10,1,0.92
beach,15,6,2.43
shopping_mall,13,2,2.39
park,10,2,1.14
zoo,19,6,2.09
restaurant,18,3,1.6
viewpoint,9,2,0.83
park,14,1,1.47
viewpoint,14,1,0.61
beach,20,0,3.35
church,17,4,0.67
park,12,3,1.77
beach,15,6,3.64
park,14,0,1.96
museum,10,5,1.64
museum,18,5,1.59
park,19,0,1.62
restaurant,11,0,2.43
zoo,17,3,2.36
beach,17,5,2.41
monument,14,1,0.74
zoo,20,3,2.3
cafe,18,2,0.78
church,14,4,1.18
viewpoint,9,2,0.72
viewpoint,10,6,0.76
park,15,2,1.79
church,13,4,0.56
zoo,11,3,2.34
church,14,4,0.9
park,11,5,1.75
church,10,4,1.03
church,17,6,1.11
restaurant,10,0,1.22
zoo,19,6,2.29
viewpoint,20,5,1.0
shopping_mall,15,4,1.85
zoo,18,0,2.8
zoo,14,5,2.04
viewpoint,17,6,0.76
shopping_mall,12,3,1.76
zoo,10,1,2.89
monument,19,5,0.9
shopping_mall,20,4,2.48
restaurant,16,4,1.06
museum,20,2,1.81
monument,12,3,0.61
zoo,9,2,2.93
park,12,1,1.66
beach,10,2,2.46
monument,16,5,1.22
museum,14,1,2.06
beach,17,4,3.18
viewpoint,16,2,0.8
park,19,2,1.55
monument,18,2,0.86
shopping_mall,20,1,2.07
monument,17,2,0.81
restaurant,9,2,2.17
restaurant,15,3,1.53
park,13,2,1.94
beach,15,1,2.93
beach,15,2,3.79
museum,9,0,1.85
shopping_mall,12,2,1.7
restaurant,9,2,1.2
park,19,5,1.73
zoo,13,5,2.15
museum,18,4,1.63
church,19,3,0.71
monument,13,2,1.18
monument,18,1,0.85
shopping_mall,18,5,2.23
church,13,0,1.41
park,10,4,1.12
church,14,3,1.32
beach,11,0,2.33
shopping_mall,13,3,2.79
viewpoint,20,6,0.73
cafe,19,6,0.68
beach,13,5,3.16
shopping_mall,19,2,2.75
cafe,9,4,1.11
viewpoint,10,2,0.96
park,16,3,1.09
viewpoint,16,3,0.96
monument,20,4,0.64
park,16,6,1.9
beach,13,4,2.09
beach,17,0,2.83
shopping_mall,19,2,1.55
zoo,20,4,2.25
park,17,0,1.15
beach,17,4,2.14
church,17,2,1.03
museum,9,4,1.53
restaurant,11,2,2.17
restaurant,11,4,1.4
restaurant,11,6,2.41
shopping_mall,10,0,2.09
museum,14,4,2.11
restaurant,11,6,1.48
museum,11,0,1.75
shopping_mall,9,6,2.31
monument,18,2,0.7
cafe,13,0,1.4
beach,16,4,2.04
park,11,4,1.43
park,17,1,1.32
zoo,10,1,2.93
restaurant,20,4,2.01
church,11,2,1.36
park,10,6,1.54
park,20,2,1.34
museum,13,3,1.87
church,18,3,0.67
museum,10,0,2.3
restaurant,19,3,1.1
park,17,2,1.99
park,14,2,1.69
museum,17,3,1.6
museum,17,2,2.46
zoo,20,4,2.07
park,16,6,1.19
zoo,19,2,2.26
zoo,13,2,2.62
cafe,14,1,1.03
beach,10,2,2.94
shopping_mall,18,4,2.81
museum,12,0,2.49
beach,20,0,2.56
zoo,19,4,2.5
zoo,13,4,2.23
museum,18,3,1.87
museum,19,0,2.13
shopping_mall,10,4,2.4
park,17,3,1.17
zoo,14,1,2.07
shopping_mall,14,2,1.77
park,18,6,1.34
monument,13,2,0.93
park,18,1,1.06
church,9,3,0.56
restaurant,18,2,1.75
museum,14,3,1.71
park,18,6,1.34
cafe,17,4,0.55
monument,15,4,1.26
beach,19,2,2.95
cafe,17,6,0.6
monument,20,4,1.08
museum,17,5,2.03
shopping_mall,15,0,2.41
museum,19,2,1.5
church,12,4,0.8
park,19,6,1.59
zoo,18,4,2.99
shopping_mall,16,3,1.81
church,20,2,0.99
museum,9,3,1.59
museum,9,5,2.4
zoo,19,6,2.99
shopping_mall,15,4,2.89
park,17,3,1.05
zoo,13,3,2.36
monument,19,1,1.38
zoo,13,1,2.44
church,18,2,1.07
park,10,4,1.54
shopping_mall,11,6,2.49
beach,12,3,3.74
park,14,4,1.38
church,17,1,0.57
viewpoint,9,2,0.54
zoo,20,6,2.89
park,18,3,1.33
shopping_mall,12,3,2.91
park,17,2,1.86
shopping_mall,18,0,1.55
museum,14,5,2.13
restaurant,9,2,1.22
beach,13,2,3.07
zoo,9,5,2.38
zoo,12,0,2.7
church,17,3,0.56
restaurant,18,6,2.35
beach,17,0,2.59
park,17,5,1.85
restaurant,13,6,2.23
viewpoint,19,5,0.74
viewpoint,12,3,0.86
park,13,5,1.18
cafe,18,2,0.92
cafe,17,6,1.33
park,15,1,1.94
shopping_mall,11,3,2.32
restaurant,17,5,1.53
viewpoint,15,2,0.63
zoo,11,5,2.67
church,11,1,1.48
zoo,18,3,2.98
monument,13,0,0.76
viewpoint,20,3,0.5
restaurant,17,4,1.99
cafe,13,0,0.98
park,17,5,1.24
park,18,4,1.45
cafe,13,2,1.12
cafe,16,1,0.55
beach,20,0,2.64
restaurant,9,3,1.82
viewpoint,18,4,0.68
monument,18,6,0.81
museum,20,2,1.76
museum,10,6,2.26
cafe,10,6,0.55
restaurant,15,0,2.38
cafe,16,0,1.41
church,11,2,1.42
monument,12,1,0.87
viewpoint,15,4,0.99
church,12,5,0.64
restaurant,10,6,2.31
shopping_mall,16,0,2.11
museum,12,2,1.5
monument,19,4,1.31
beach,19,3,3.33
zoo,10,6,2.97
museum,12,0,2.17
zoo,19,4,2.61
beach,20,1,3.36
cafe,14,1,0.55
restaurant,13,3,2.17
monument,16,6,0.61
beach,18,3,2.59
museum,14,1,1.57
shopping_mall,9,3,2.67
restaurant,12,5,1.93
beach,9,6,2.44
viewpoint,12,4,0.76
cafe,15,0,0.97
shopping_mall,19,5,1.8
viewpoint,19,1,0.9
zoo,14,3,2.02
zoo,16,4,2.16
park,15,0,1.95
park,20,1,1.46
church,19,2,1.16
beach,9,6,3.62
monument,19,6,0.5
restaurant,17,0,1.81
cafe,9,2,1.44
beach,12,4,2.48
zoo,15,0,2.04
zoo,20,3,3.0
viewpoint,16,0,0.58
zoo,13,2,2.15
zoo,9,5,2.93
viewpoint,15,1,0.59
museum,15,5,2.1
monument,14,6,0.72
monument,19,0,1.07
viewpoint,16,2,0.82
restaurant,12,2,2.21
monument,18,4,1.25
shopping_mall,9,0,1.82
restaurant,12,1,1.24
museum,19,6,1.79
park,12,3,1.17
cafe,16,6,0.78
cafe,18,0,0.6
church,12,6,1.47
park,9,6,1.44
church,12,2,1.3
church,20,5,0.54
shopping_mall,11,4,1.51
monument,13,6,1.09
cafe,18,2,0.91
monument,13,6,0.62
viewpoint,17,4,0.9
cafe,11,0,1.42
cafe,19,6,1.27
beach,11,5,3.6
beach,12,3,2.59
shopping_mall,16,0,2.28
monument,16,5,0.67
monument,12,0,1.26
restaurant,10,5,1.95
shopping_mall,10,0,2.06
church,19,4,0.69
zoo,18,1,2.52
park,20,0,1.85
shopping_mall,9,0,2.63
monument,13,3,1.08
viewpoint,20,5,0.55
shopping_mall,14,4,2.7
viewpoint,9,3,0.87
viewpoint,9,6,0.67
park,19,6,1.84
museum,15,1,1.57
shopping_mall,11,6,2.74
viewpoint,9,6,0.87
zoo,19,1,2.63
church,10,6,0.51
church,11,5,1.16
beach,13,5,3.04
park,18,0,1.61
zoo,19,6,2.06
restaurant,10,5,1.35
shopping_mall,16,2,2.99
church,19,0,0.81
restaurant,18,0,2.2
museum,14,0,2.06
beach,13,0,2.49
restaurant,14,0,1.53
monument,15,3,0.74
viewpoint,14,4,0.88
cafe,16,4,0.85
viewpoint,14,6,0.92
viewpoint,14,6,0.99
church,20,6,0.92
restaurant,12,0,1.35
viewpoint,11,5,0.69
shopping_mall,17,2,1.81
museum,19,6,2.36
church,11,4,1.21
zoo,20,5,2.83
viewpoint,11,0,0.8
viewpoint,18,4,0.53
museum,18,2,1.57
restaurant,9,6,2.45
beach,12,2,3.83
church,10,1,1.2
monument,12,1,0.58
restaurant,15,6,1.53
church,15,6,0.75
restaurant,14,3,2.24
monument,16,5,0.63
zoo,16,6,2.63
park,13,6,1.57
beach,20,5,3.9
church,11,6,1.14
zoo,18,3,2.73
shopping_mall,13,6,2.99
zoo,13,1,2.0
shopping_mall,11,0,2.95
beach,13,5,3.92
viewpoint,12,0,0.68
restaurant,16,3,1.4
church,20,1,0.91
museum,10,5,1.91
monument,9,3,0.53
church,9,4,1.39
monument,18,4,0.89
park,18,2,1.96
shopping_mall,17,5,1.65
museum,12,6,1.57
viewpoint,11,4,0.72
monument,11,4,1.28
monument,15,2,1.41
church,16,1,0.97
cafe,10,3,0.96
museum,12,5,2.37
cafe,15,2,1.07
cafe,17,2,0.9
monument,17,4,1.11
shopping_mall,12,4,2.46
monument,10,6,0.55
viewpoint,17,3,0.66
viewpoint,19,2,0.85
beach,14,4,2.84
park,16,4,1.12
restaurant,16,6,1.16
beach,13,4,3.97
restaurant,18,6,2.1
monument,20,4,1.36
zoo,9,5,2.81
restaurant,11,4,2.18
church,16,4,0.99
restaurant,20,4,1.33
cafe,10,3,0.59
church,14,6,0.73
beach,16,6,2.44
beach,19,3,3.33
shopping_mall,9,2,1.75
monument,13,4,1.4
museum,12,5,2.41
zoo,20,4,2.67
shopping_mall,13,6,3.0
viewpoint,15,2,0.88
viewpoint,9,1,0.93
cafe,13,2,1.05
restaurant,20,3,2.12
beach,16,4,3.14
church,16,0,0.58
church,13,0,0.88
zoo,10,2,2.71
viewpoint,18,4,0.92
shopping_mall,10,2,1.94
monument,11,1,1.0
shopping_mall,10,6,2.75
shopping_mall,15,6,1.93
monument,17,6,1.4
cafe,17,2,1.48
church,12,5,0.85
beach,9,3,2.38
church,12,2,1.39
beach,15,6,2.38
monument,9,1,1.31
zoo,13,5,2.42
viewpoint,18,2,0.69
museum,18,3,2.06
park,12,2,1.46
beach,14,2,3.88
cafe,12,5,0.58
restaurant,11,3,1.97
cafe,10,5,1.32
viewpoint,18,0,0.6
cafe,9,2,1.49
church,15,5,0.58
park,10,0,1.34
museum,18,1,2.08
monument,16,1,1.36
monument,15,3,1.36
shopping_mall,19,3,2.4
shopping_mall,20,0,2.68
restaurant,12,4,1.52
monument,16,3,0.51
shopping_mall,14,5,1.82
monument,9,4,1.33
beach,9,0,3.94
zoo,10,3,2.95
restaurant,11,5,1.59
zoo,18,4,2.17
monument,11,1,1.46
zoo,19,0,2.12
viewpoint,15,6,0.93
beach,16,1,2.67
viewpoint,13,2,0.71
restaurant,11,5,1.04
cafe,18,6,1.32
church,13,5,1.14
restaurant,13,0,1.52
monument,20,3,0.73
park,9,2,1.98
zoo,13,4,2.98
